"id" "sexo" "EstadoCivil" "DataNascimento" "DataIngresso" "carreira" "BaseCalculoMensal" "QntDependentes" "idade" "temposervico"
"1" 59 "feminino" "solteir" 1944-05-15 1998-01-01 "AUX. SERV. GER." 1144.8 0 75 22
"2" 23 "feminino" "casad" 1949-05-22 1991-10-05 "AG. COM. SAÚDE" 1267.55 1 70 28
"3" 469 "masculino" "casad" 1951-06-04 2007-09-03 "MÉDICO" 1580.73 1 68 12
"4" 407 "masculino" "uniaoestavel" 1951-06-24 2004-07-07 "PROFESSOR" 2161 1 68 15
"5" 9 "masculino" "solteir" 1951-06-27 1983-09-01 "ELETRICISTA" 1287.9 0 68 36
"6" 175 "feminino" "solteir" 1951-10-11 2001-02-09 "PROFESSORA" 3415.99 0 68 19
"7" 104 "masculino" "casad" 1952-08-28 1999-02-01 "PROFESSOR" 3586.79 1 67 21
"8" 10 "masculino" "uniaoestavel" 1952-09-03 1983-09-01 "ATENDENTE DE ENFERMAGEM" 1287.91 1 67 36
"9" 4 "masculino" "casad" 1953-05-15 1983-04-28 "AUX. SERV. GER." 1287.9 1 66 36
"10" 5 "masculino" "casad" 1953-10-09 1983-05-01 "AUX. SERV. GER." 1287.9 1 66 36
"11" 340 "masculino" "casad" 1954-02-15 2003-02-03 "GARI" 1097.09 1 66 17
"12" 243 "feminino" "casad" 1955-02-01 2001-05-07 "AUX. ENFERMAGEM" 1097.09 2 65 18
"13" 503 "masculino" "uniaoestavel" 1955-03-20 2007-10-01 "GARI" 1049.36 1 64 12
"14" 235 "masculino" "casad" 1955-06-30 2001-05-07 "ODONTÓLOGO" 1350 1 64 18
"15" 484 "masculino" "uniaoestavel" 1955-07-25 2007-09-03 "GARI" 1049.36 1 64 12
"16" 13 "feminino" "casad" 1955-08-24 1984-01-01 "FARMAC/BIOQUÍMICO" 1300 1 64 36
"17" 314 "feminino" "casad" 1955-10-09 2002-05-01 "ASSIST. SERVIÇO " 1192.55 1 64 17
"18" 46 "feminino" "solteir" 1955-10-20 1998-01-01 "PROFESSOR" 4093.63 0 64 22
"19" 504 "masculino" "solteir" 1955-12-10 2007-10-01 "GARI" 1049.4 0 64 12
"20" 442 "masculino" "solteir" 1956-01-30 2006-12-01 "VIGILANTE" 1088.64 0 64 13
"21" 350 "masculino" "divorciad" 1956-02-07 2003-02-03 "GARI" 1097.09 0 64 17
"22" 228 "masculino" "casad" 1956-05-02 2001-05-02 "AG. PORTARIA" 1097.09 1 63 18
"23" 20 "feminino" "uniaoestavel" 1956-05-10 1991-10-05 "AG. COM. SAÚDE" 1267.55 1 63 28
"24" 352 "masculino" "uniaoestavel" 1956-07-20 2003-02-03 "GARI" 1097.09 1 63 17
"25" 242 "feminino" "casad" 1956-08-15 2001-05-07 "AUX. ENFERMAGEM" 1144.82 1 63 18
"26" 700 "masculino" "uniaoestavel" 1956-08-22 2015-10-01 "PSICÓLOGO" 1550 1 63 4
"27" 386 "masculino" "divorciad" 1956-08-24 2004-01-02 "MOTORISTA" 1097.09 1 63 16
"28" 365 "masculino" "casad" 1956-09-07 2003-02-03 "GARI" 1097.09 2 63 17
"29" 230 "feminino" "solteir" 1956-09-30 2001-05-02 "PROFESSOR" 3742.73 0 63 18
